id,skills,education,experience_years,role
1,"flask, gcp, mongodb_atlas, postgresql, rails, scala, sql, typescript",Bachelors,2,Backend Developer
2,"aws, bash, cpp, figma, powershell, r",Bootcamp,8,Systems Administrator
3,"css, cybersecurity, figma, firebase, hadoop, networking, pytest, ruby",Bootcamp,4,Cybersecurity Analyst
4,"aws, devops, pytest, supabase",Bootcamp,8,DevOps Engineer
5,"apache, html, kubernetes, linux, python, sql, statistics, tableau",Bachelors,1,Data Analyst
6,"cicd, firebase, graphql, swift",Bootcamp,0,Backend Developer
7,"cypress, elasticsearch, flask, python, ruby, spring, ui_design",Bachelors,3,Frontend Developer
8,"firebase, linux, pandas",Masters,1,Cybersecurity Analyst
9,"aws, python, pytorch, tensorflow",Masters,2,Machine Learning Engineer
10,"apache_spark, cicd, dotnet, nosql, pandas, php, rails",Bachelors,4,Database Administrator
11,"deep_learning, docker, html, php, rails",Bachelors,8,Full Stack Developer
12,"cybersecurity, data_viz, kotlin",PhD,1,Data Scientist
13,"ethereum, express, hadoop, rails, scala",Bachelors,1,Full Stack Developer
14,"bash, flask, jenkins, nodejs, public_speaking, statistics",Masters,13,DevOps Engineer
15,"agile, cpp, laravel, pytorch, sql, vue, websockets",Bachelors,12,Frontend Developer
16,"cicd, cypress, pandas, python, react, sketch, supabase, terraform",Bootcamp,1,Frontend Developer
17,"computer_vision, leadership, ruby, sketch",Bachelors,10,Robotics Engineer
18,"apache, cypress, data_viz, excel, grpc, sketch",Bachelors,14,Data Scientist
19,"data_analysis, express, jira, leadership, pytorch, rust",Masters,14,Project Manager
20,"photoshop, pytest, scikit_learn, typescript",Bootcamp,1,QA Engineer
21,"javascript, nodejs, rails",Bootcamp,7,Software Developer
22,"leadership, rabbitmq, terraform",Bachelors,15,Product Manager
23,"azure, firebase, github_actions, rails, tableau, ui_design",Bachelors,7,DevOps Engineer
24,"computer_vision, excel, graphql, javascript, kotlin, networking, nginx, public_speaking",Bachelors,9,Solutions Architect
25,"kubernetes, spring, vue",Bachelors,1,Backend Developer
26,"cicd, redis, swift, terraform",Bootcamp,2,DevOps Engineer
27,"excel, kafka, numpy, python",Masters,9,Data Scientist
28,"kafka, nlp, nosql, pandas, rabbitmq, terraform",PhD,5,Data Scientist
29,"bash, computer_vision, cybersecurity, graphql, kotlin, numpy, tableau",Bachelors,15,Data Scientist
30,"azure, communication, cypress, docker, express, go, mongodb, powerbi",PhD,7,Full Stack Developer
31,"cypress, mysql, pytorch, ux_research, vue, websockets",Masters,7,UX/UI Designer
32,"cpp, gitlab, numpy, project_management, pytorch, spring, supabase",Masters,8,Machine Learning Engineer
33,"blockchain, kafka, photoshop, scikit_learn, swift",PhD,1,Machine Learning Engineer
34,"deep_learning, kubernetes, powershell, public_speaking, rust",PhD,9,Solutions Architect
35,"data_viz, kafka, laravel, nodejs, pytorch, rest_apis, statistics, terraform",Bootcamp,8,Data Scientist
36,"apache, hadoop, illustrator, leadership, postgresql, problem_solving, r, solidity",Masters,10,Database Administrator
37,"mysql, nlp, ruby",PhD,10,Data Scientist
